Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Staff_Service,F&B,Inflight_Entertainment,Ground_Service,Value_For_Money,Recommended,Airlines,Start_point,End_point
Couple Leisure,Economy Class,Bangkok to Manchester via Helsinki,January 2020,3.0,2.0,1.0,1.0,3.0,1.0,No,finnair,Bangkok,Manchester
Solo Leisure,Economy Class,Helsinki to Osaka,January 2020,5.0,3.0,2.0,1.0,4.0,3.0,Yes,finnair,Helsinki,Osaka
Solo Leisure,Economy Class,Manchester to Helsinki via Bangkok,January 2020,2.0,4.0,2.0,2.0,4.0,3.0,No,finnair,Manchester,Helsinki
Family Leisure,Economy Class,Chicago to Vilnius  via Helsinki ,August 2019,5.0,5.0,3.0,3.0,3.0,4.0,Yes,finnair,Chicago,Vilnius 
Couple Leisure,Economy Class,Dubai to Helsinki,December 2019,3.0,3.0,1.0,1.0,3.0,3.0,No,finnair,Dubai,Helsinki
Couple Leisure,Economy Class,Hong Kong to Billund via Helsinki,December 2019,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Hong Kong,Billund
Solo Leisure,Economy Class,Hong Kong to Reykjavik =via Helsinki,May 2019,5.0,5.0,4.0,5.0,2.0,5.0,Yes,finnair,Hong Kong,Reykjavik =via Helsinki
Solo Leisure,Business Class,Stockholm to Bangkok via Helsinki,December 2019,4.0,4.0,5.0,4.0,4.0,4.0,Yes,finnair,Stockholm,Bangkok
Family Leisure,Business Class,Phuket to Helsinki,November 2019,4.0,1.0,1.0,4.0,4.0,1.0,No,finnair,Phuket,Helsinki
Business,Business Class,Dubai to Helsinki,March 2019,5.0,4.0,5.0,4.0,4.0,5.0,Yes,finnair,Dubai,Helsinki
Couple Leisure,Economy Class,Helsinki to Singapore,October 2019,1.0,4.0,3.0,3.0,4.0,4.0,No,finnair,Helsinki,Singapore
Family Leisure,Economy Class,Helsinki to Phuket,October 2019,3.0,4.0,5.0,4.0,5.0,3.0,Yes,finnair,Helsinki,Phuket
Family Leisure,Economy Class,Bangkok to Manchester via Helsinki,November 2019,4.0,5.0,2.0,3.0,5.0,5.0,Yes,finnair,Bangkok,Manchester
Business,Economy Class,Helsinki to Paris,October 2019,3.0,4.0,1.0,1.0,3.0,3.0,Yes,finnair,Helsinki,Paris
Solo Leisure,Business Class,Helsinki to Dublin,October 2019,4.0,5.0,4.0,1.0,3.0,3.0,Yes,finnair,Helsinki,Dublin
Solo Leisure,Economy Class,Bangkok to London via Helsinki,September 2019,5.0,5.0,3.0,4.0,3.0,4.0,Yes,finnair,Bangkok,London
Solo Leisure,Premium Economy,Helsinki to Chicago,September 2019,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Helsinki,Chicago
Couple Leisure,Business Class,Vienna to Singapore via Helsinki,September 2019,4.0,5.0,4.0,3.0,5.0,4.0,Yes,finnair,Vienna,Singapore
Solo Leisure,Economy Class,Toronto to Yekaterinburg,May 2019,3.0,3.0,1.0,1.0,3.0,2.0,No,finnair,Toronto,Yekaterinburg
Couple Leisure,Business Class,Singapore to Vienna via Helsinki,September 2019,2.0,1.0,3.0,2.0,1.0,1.0,Yes,finnair,Singapore,Vienna
Business,Economy Class,Helsinki to Warsaw ,September 2019,2.0,5.0,1.0,5.0,3.0,3.0,No,finnair,Helsinki,Warsaw 
Solo Leisure,Economy Class,Singapore to Helsinki,August 2019,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Singapore,Helsinki
Couple Leisure,Economy Class,Helsinki to Lisbon,August 2019,4.0,5.0,5.0,5.0,5.0,5.0,Yes,finnair,Helsinki,Lisbon
Family Leisure,Economy Class,Hong Kong to Copenhagen via Helsinki,August 2019,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Hong Kong,Copenhagen
Family Leisure,Economy Class,Singapore to Krakow via Helsinki,August 2019,5.0,5.0,4.0,4.0,5.0,5.0,Yes,finnair,Singapore,Krakow
Solo Leisure,Business Class,Helsinki to Paris,August 2019,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Helsinki,Paris
Solo Leisure,Economy Class,Chicago to Helskini via Warsaw,August 2019,3.0,3.0,4.0,1.0,1.0,3.0,No,finnair,Chicago,Helskini
Couple Leisure,Business Class,Bangkok to Helsinki,August 2019,5.0,5.0,5.0,5.0,3.0,5.0,Yes,finnair,Bangkok,Helsinki
Business,Economy Class,Amsterdam to Helsinki,August 2019,3.0,3.0,3.0,1.0,1.0,2.0,No,finnair,Amsterdam,Helsinki
