Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Staff_Service,F&B,Inflight_Entertainment,Ground_Service,Value_For_Money,Recommended,Airlines,Start_point,End_point
Business,Economy Class,Zurich to Paris,June 2018,1.0,3.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Zurich,Paris
Business,Business Class,Geneva to London,June 2018,3.0,5.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Geneva,London
Couple Leisure,Economy Class,Singapore to Zurich,April 2018,3.0,1.0,2.0,3.0,2.0,2.0,No,swiss-international-air-lines,Singapore,Zurich
Solo Leisure,Business Class,Geneva to Berlin via Zurich,May 2018,5.0,5.0,5.0,5.0,5.0,4.0,Yes,swiss-international-air-lines,Geneva,Berlin
Solo Leisure,Economy Class,Berlin to Geneva via Zurich,May 2018,5.0,5.0,5.0,5.0,5.0,4.0,Yes,swiss-international-air-lines,Berlin,Geneva
Business,Business Class,Newark to Zurich,May 2018,1.0,2.0,1.0,2.0,2.0,1.0,No,swiss-international-air-lines,Newark,Zurich
Business,Business Class,London City to Zurich,May 2018,1.0,3.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,London City,Zurich
Couple Leisure,Economy Class,Singapore to Zurich,May 2018,2.0,1.0,2.0,2.0,2.0,1.0,No,swiss-international-air-lines,Singapore,Zurich
Business,Economy Class,Zurich to London City,May 2018,1.0,2.0,1.0,1.0,3.0,2.0,No,swiss-international-air-lines,Zurich,London City
Solo Leisure,Economy Class,Amsterdam to Hong Kong via Zurich,April 2018,3.0,4.0,3.0,3.0,1.0,4.0,Yes,swiss-international-air-lines,Amsterdam,Hong Kong
Solo Leisure,Economy Class,Zurich to Dubai,April 2018,3.0,1.0,1.0,2.0,2.0,2.0,No,swiss-international-air-lines,Zurich,Dubai
Couple Leisure,Economy Class,Zurich to Venice,April 2018,1.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Zurich,Venice
Solo Leisure,Business Class,Lisbon to Zurich,April 2018,3.0,5.0,5.0,3.0,4.0,4.0,Yes,swiss-international-air-lines,Lisbon,Zurich
Solo Leisure,Economy Class,Florence to Zurich,April 2018,1.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Florence,Zurich
Business,Business Class,Dubai to London via Zurich,April 2018,2.0,2.0,1.0,1.0,1.0,2.0,No,swiss-international-air-lines,Dubai,London
Couple Leisure,Economy Class,Zurich to Shanghai,October 2017,1.0,1.0,1.0,1.0,3.0,1.0,No,swiss-international-air-lines,Zurich,Shanghai
Solo Leisure,Business Class,Paris to Bangkok via Zurich,March 2018,5.0,5.0,5.0,3.0,4.0,5.0,Yes,swiss-international-air-lines,Paris,Bangkok
Solo Leisure,Economy Class,Copenhagen to New York via Zurich,December 2017,5.0,5.0,4.0,4.0,4.0,4.0,Yes,swiss-international-air-lines,Copenhagen,New York
Business,Economy Class,Miami to Moscow via Zurich,March 2018,3.0,2.0,4.0,3.0,3.0,2.0,No,swiss-international-air-lines,Miami,Moscow
Business,Economy Class,Stuttgart to Muscat via Zurich,March 2018,4.0,4.0,4.0,3.0,4.0,3.0,Yes,swiss-international-air-lines,Stuttgart,Muscat
Solo Leisure,Economy Class,Geneva to London,March 2018,5.0,5.0,1.0,1.0,5.0,5.0,Yes,swiss-international-air-lines,Geneva,London
Family Leisure,Economy Class,Geneva to New York JFK,February 2018,5.0,5.0,5.0,4.0,3.0,4.0,Yes,swiss-international-air-lines,Geneva,New York JFK
Couple Leisure,Economy Class,London City to Zurich,February 2018,3.0,3.0,2.0,1.0,5.0,5.0,Yes,swiss-international-air-lines,London City,Zurich
Couple Leisure,Business Class,Brussels to Bangkok via Zurich,December 2017,4.0,2.0,2.0,2.0,4.0,3.0,No,swiss-international-air-lines,Brussels,Bangkok
Business,Economy Class,Zurich to Hong Kong ,February 2018,1.0,2.0,5.0,2.0,5.0,2.0,No,swiss-international-air-lines,Zurich,Hong Kong 
Family Leisure,Economy Class,Geneva to London Heathrow ,February 2018,1.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Geneva,London Heathrow 
Solo Leisure,First Class,San Francisco to Zurich,February 2018,5.0,4.0,5.0,4.0,3.0,4.0,Yes,swiss-international-air-lines,San Francisco,Zurich
Solo Leisure,First Class,Sao Paulo to Zürich,February 2018,3.0,5.0,5.0,4.0,5.0,4.0,Yes,swiss-international-air-lines,Sao Paulo,Zürich
Solo Leisure,Economy Class,Zurich to Athens,January 2018,3.0,5.0,4.0,3.0,4.0,4.0,Yes,swiss-international-air-lines,Zurich,Athens
Business,Economy Class,São Paulo to Zurich,February 2018,1.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,São Paulo,Zurich
Couple Leisure,Economy Class,Vienna to Zurich,December 2017,5.0,5.0,5.0,1.0,5.0,5.0,Yes,swiss-international-air-lines,Vienna,Zurich
Solo Leisure,Economy Class,Athens to London Heathrow via Zurich,January 2018,4.0,5.0,5.0,1.0,5.0,5.0,Yes,swiss-international-air-lines,Athens,London Heathrow
Solo Leisure,Economy Class,London to Los Angeles via Zurich,January 2018,5.0,5.0,5.0,5.0,5.0,5.0,Yes,swiss-international-air-lines,London,Los Angeles
Solo Leisure,Economy Class,Warsaw to New York via Zurich,January 2018,4.0,3.0,3.0,3.0,4.0,3.0,Yes,swiss-international-air-lines,Warsaw,New York
Business,Business Class,New York JFK to Zurich,January 2018,1.0,3.0,2.0,2.0,2.0,2.0,No,swiss-international-air-lines,New York JFK,Zurich
Business,Economy Class,Amsterdam to Johannesburg via Zurich,September 2017,3.0,3.0,2.0,2.0,1.0,1.0,No,swiss-international-air-lines,Amsterdam,Johannesburg
Couple Leisure,Business Class,Miami to Manchester via Zurich,November 2017,5.0,4.0,4.0,4.0,4.0,5.0,Yes,swiss-international-air-lines,Miami,Manchester
Solo Leisure,Business Class,Bangkok to London via Zurich,January 2018,4.0,5.0,5.0,3.0,5.0,5.0,Yes,swiss-international-air-lines,Bangkok,London
Business,Economy Class,Munich to Madrid via Zurich ,September 2017,5.0,5.0,4.0,4.0,5.0,5.0,Yes,swiss-international-air-lines,Munich,Madrid
Solo Leisure,Business Class,Sofia to Zurich,August 2017,4.0,5.0,4.0,1.0,4.0,4.0,Yes,swiss-international-air-lines,Sofia,Zurich
Solo Leisure,Business Class,Dubai to Muscat,December 2017,3.0,3.0,2.0,3.0,1.0,1.0,No,swiss-international-air-lines,Dubai,Muscat
Solo Leisure,Economy Class,London to Zurich,December 2017,1.0,2.0,1.0,1.0,1.0,2.0,No,swiss-international-air-lines,London,Zurich
Solo Leisure,Economy Class,Los Angeles to Zurich,December 2017,2.0,3.0,4.0,4.0,3.0,3.0,Yes,swiss-international-air-lines,Los Angeles,Zurich
Business,Economy Class,London to Zurich,December 2017,1.0,2.0,1.0,1.0,2.0,2.0,No,swiss-international-air-lines,London,Zurich
Family Leisure,Business Class,Hong Kong to Copenhagen via Zurich,December 2017,3.0,3.0,3.0,4.0,3.0,2.0,Yes,swiss-international-air-lines,Hong Kong,Copenhagen
Family Leisure,Economy Class,Berlin to Lisbon via Zürich,October 2017,4.0,5.0,4.0,1.0,5.0,5.0,Yes,swiss-international-air-lines,Berlin,Lisbon
Business,Economy Class,Moscow to Zurich,December 2017,3.0,2.0,3.0,1.0,3.0,3.0,No,swiss-international-air-lines,Moscow,Zurich
Couple Leisure,Economy Class,Zurich to Gothenburg,December 2017,3.0,3.0,1.0,1.0,1.0,3.0,No,swiss-international-air-lines,Zurich,Gothenburg
Solo Leisure,Economy Class,Milan to Shanghai via Zurich,December 2017,3.0,3.0,5.0,3.0,1.0,2.0,No,swiss-international-air-lines,Milan,Shanghai
Business,Economy Class,Tel Aviv to Zúrich,November 2017,4.0,5.0,3.0,3.0,5.0,5.0,Yes,swiss-international-air-lines,Tel Aviv,Zúrich
Solo Leisure,Business Class,Zurich to Mumbai,November 2017,5.0,5.0,5.0,1.0,4.0,4.0,Yes,swiss-international-air-lines,Zurich,Mumbai
Business,Business Class,Zurich to New York,December 2017,1.0,4.0,2.0,1.0,1.0,2.0,No,swiss-international-air-lines,Zurich,New York
Solo Leisure,Business Class,San Francisco to Mumbai via Zurich,November 2017,5.0,4.0,5.0,4.0,4.0,4.0,Yes,swiss-international-air-lines,San Francisco,Mumbai
Solo Leisure,Economy Class,Munich to Moscow via Zurich,September 2017,2.0,4.0,3.0,1.0,5.0,3.0,Yes,swiss-international-air-lines,Munich,Moscow
Solo Leisure,Economy Class,Geneva to Madrid,November 2017,3.0,3.0,3.0,3.0,1.0,2.0,No,swiss-international-air-lines,Geneva,Madrid
Couple Leisure,Business Class,Zurich to Singapore,November 2017,4.0,5.0,5.0,1.0,5.0,5.0,Yes,swiss-international-air-lines,Zurich,Singapore
Solo Leisure,Economy Class,New York to Zurich,November 2017,2.0,1.0,2.0,1.0,1.0,3.0,No,swiss-international-air-lines,New York,Zurich
Business,Economy Class,Zurich to Budapest,November 2017,1.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Zurich,Budapest
Solo Leisure,Economy Class,Delhi to New York JFK via Zurich,October 2017,3.0,4.0,3.0,1.0,4.0,3.0,No,swiss-international-air-lines,Delhi,New York JFK
Solo Leisure,Economy Class,Sao Paulo to Geneva via Zurich,October 2017,5.0,3.0,5.0,5.0,5.0,4.0,Yes,swiss-international-air-lines,Sao Paulo,Geneva
Business,Business Class,Singapore to Zurich,October 2017,5.0,4.0,5.0,5.0,4.0,4.0,Yes,swiss-international-air-lines,Singapore,Zurich
Family Leisure,Economy Class,Zurich to Singapore,October 2017,1.0,4.0,3.0,1.0,3.0,1.0,No,swiss-international-air-lines,Zurich,Singapore
Family Leisure,Economy Class,Zurich to Venice,October 2017,4.0,5.0,5.0,4.0,4.0,5.0,Yes,swiss-international-air-lines,Zurich,Venice
Business,Business Class,Chicago to Dubai via Zurich,October 2017,2.0,1.0,1.0,2.0,2.0,3.0,No,swiss-international-air-lines,Chicago,Dubai
Couple Leisure,Economy Class,London City to Athens via Zurich,September 2017,4.0,4.0,4.0,1.0,5.0,4.0,Yes,swiss-international-air-lines,London City,Athens
Business,Economy Class,Cairo to Warsaw via Zurich,September 2017,5.0,5.0,5.0,1.0,5.0,5.0,Yes,swiss-international-air-lines,Cairo,Warsaw
Couple Leisure,Economy Class,Zurich to Singapore,September 2017,1.0,1.0,2.0,1.0,1.0,2.0,No,swiss-international-air-lines,Zurich,Singapore
Couple Leisure,Economy Class,Zurich to Toronto,September 2017,3.0,4.0,4.0,2.0,1.0,3.0,No,swiss-international-air-lines,Zurich,Toronto
Couple Leisure,Economy Class,Zurich to Rome,September 2017,3.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Zurich,Rome
Solo Leisure,Business Class,Montreal to Zurich,September 2017,2.0,2.0,2.0,3.0,5.0,2.0,No,swiss-international-air-lines,Montreal,Zurich
Family Leisure,Economy Class,Boston to Zurich,September 2017,1.0,1.0,1.0,1.0,2.0,4.0,No,swiss-international-air-lines,Boston,Zurich
Business,Business Class,Athens to Zurich,September 2017,3.0,3.0,4.0,3.0,2.0,4.0,Yes,swiss-international-air-lines,Athens,Zurich
Couple Leisure,Economy Class,Geneva to Venice via Zurich,September 2017,4.0,2.0,4.0,2.0,4.0,3.0,Yes,swiss-international-air-lines,Geneva,Venice
Business,Economy Class,Warsaw to New Delhi via Zurich,August 2017,4.0,4.0,3.0,3.0,1.0,3.0,No,swiss-international-air-lines,Warsaw,New Delhi
Solo Leisure,Economy Class,Muscat to Munich via Zurich,June 2017,4.0,5.0,4.0,5.0,4.0,5.0,Yes,swiss-international-air-lines,Muscat,Munich
Family Leisure,Economy Class,Moscow to Geneva,August 2017,5.0,5.0,4.0,5.0,4.0,5.0,Yes,swiss-international-air-lines,Moscow,Geneva
Solo Leisure,Economy Class,Vienna to Newark via Zurich,August 2017,4.0,1.0,3.0,1.0,3.0,1.0,No,swiss-international-air-lines,Vienna,Newark
Solo Leisure,Economy Class,Prague to Paris via Zurich,August 2017,4.0,5.0,4.0,1.0,3.0,4.0,Yes,swiss-international-air-lines,Prague,Paris
Family Leisure,Economy Class,Geneva to Athens,August 2017,4.0,5.0,3.0,3.0,3.0,5.0,Yes,swiss-international-air-lines,Geneva,Athens
Solo Leisure,Economy Class,Zurich to Barcelona,August 2017,2.0,1.0,2.0,1.0,1.0,2.0,No,swiss-international-air-lines,Zurich,Barcelona
Family Leisure,Economy Class,Zurich to London Heathrow,August 2017,4.0,1.0,3.0,1.0,1.0,2.0,No,swiss-international-air-lines,Zurich,London Heathrow
Business,First Class,Zurich to Mumbai,August 2017,4.0,5.0,5.0,4.0,5.0,4.0,Yes,swiss-international-air-lines,Zurich,Mumbai
Solo Leisure,Economy Class,Dusseldorf to Zurich,August 2017,4.0,5.0,5.0,1.0,5.0,4.0,Yes,swiss-international-air-lines,Dusseldorf,Zurich
Business,Business Class,Berlin to London Heathrow via Zurich,April 2017,2.0,4.0,4.0,1.0,2.0,3.0,Yes,swiss-international-air-lines,Berlin,London Heathrow
Solo Leisure,Economy Class,Hong Kong to Dublin via Zurich,August 2017,1.0,3.0,3.0,2.0,1.0,1.0,No,swiss-international-air-lines,Hong Kong,Dublin
Business,Business Class,Geneva to New York,July 2017,5.0,5.0,4.0,3.0,1.0,3.0,No,swiss-international-air-lines,Geneva,New York
Solo Leisure,Economy Class,Mumbai to Zurich,July 2017,3.0,3.0,3.0,4.0,4.0,4.0,Yes,swiss-international-air-lines,Mumbai,Zurich
Family Leisure,Economy Class,Mumbai to Stuttgart via Zurich,July 2017,4.0,5.0,3.0,4.0,5.0,5.0,Yes,swiss-international-air-lines,Mumbai,Stuttgart
Business,Business Class,Saint Petersburg to London via Zurich,July 2017,1.0,3.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Saint Petersburg,London
Family Leisure,Economy Class,Dublin to Zürich,July 2017,4.0,5.0,5.0,1.0,5.0,5.0,Yes,swiss-international-air-lines,Dublin,Zürich
Solo Leisure,Business Class,Zurich to Mumbai ,June 2017,5.0,5.0,5.0,4.0,5.0,4.0,Yes,swiss-international-air-lines,Zurich,Mumbai 
Solo Leisure,Business Class,Lisbon to Zurich,June 2017,4.0,5.0,5.0,1.0,5.0,4.0,Yes,swiss-international-air-lines,Lisbon,Zurich
Solo Leisure,Economy Class,Zurich to Amsterdam,June 2017,5.0,4.0,4.0,1.0,5.0,4.0,Yes,swiss-international-air-lines,Zurich,Amsterdam
Solo Leisure,Business Class,Zurich to Belgrade,June 2017,4.0,5.0,4.0,1.0,3.0,5.0,Yes,swiss-international-air-lines,Zurich,Belgrade
Solo Leisure,Business Class,Milan to Zurich,May 2017,5.0,5.0,5.0,1.0,5.0,5.0,Yes,swiss-international-air-lines,Milan,Zurich
Business,First Class,Zurich to Los Angeles,May 2017,5.0,5.0,5.0,4.0,5.0,5.0,Yes,swiss-international-air-lines,Zurich,Los Angeles
Business,Business Class,Geneva to New York,March 2017,5.0,5.0,5.0,4.0,5.0,4.0,Yes,swiss-international-air-lines,Geneva,New York
Solo Leisure,Economy Class,Zurich to Oslo,May 2017,5.0,5.0,4.0,1.0,4.0,5.0,Yes,swiss-international-air-lines,Zurich,Oslo
Couple Leisure,Economy Class,Zurich to New Delhi,April 2017,5.0,5.0,5.0,3.0,4.0,4.0,Yes,swiss-international-air-lines,Zurich,New Delhi
Solo Leisure,Economy Class,Geneva to Hong Kong via Zurich,January 2017,5.0,5.0,5.0,4.0,5.0,5.0,Yes,swiss-international-air-lines,Geneva,Hong Kong
Couple Leisure,Economy Class,Zurich to Amsterdam,May 2017,4.0,3.0,3.0,3.0,4.0,4.0,Yes,swiss-international-air-lines,Zurich,Amsterdam
Couple Leisure,Economy Class,Singapore to Zurich,May 2017,2.0,2.0,3.0,5.0,4.0,4.0,Yes,swiss-international-air-lines,Singapore,Zurich
Couple Leisure,Business Class,Bangkok to Zurich,May 2017,3.0,4.0,1.0,3.0,1.0,3.0,No,swiss-international-air-lines,Bangkok,Zurich
Solo Leisure,Economy Class,Zurich to Hong Kong,May 2017,5.0,5.0,5.0,5.0,5.0,5.0,Yes,swiss-international-air-lines,Zurich,Hong Kong
Couple Leisure,First Class,Singapore to Oslo via Zurich,May 2017,2.0,2.0,4.0,2.0,5.0,5.0,Yes,swiss-international-air-lines,Singapore,Oslo
Family Leisure,Economy Class,Zurich to Chicago,April 2017,4.0,5.0,4.0,3.0,5.0,4.0,Yes,swiss-international-air-lines,Zurich,Chicago
Solo Leisure,Business Class,Frankfurt to Zurich,April 2017,4.0,5.0,5.0,1.0,5.0,4.0,Yes,swiss-international-air-lines,Frankfurt,Zurich
Couple Leisure,Economy Class,Athens to Montreal via Zurich,April 2017,4.0,5.0,4.0,4.0,4.0,3.0,Yes,swiss-international-air-lines,Athens,Montreal
Family Leisure,Economy Class,Amsterdam to Florence via Zurich,April 2017,2.0,2.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Amsterdam,Florence
Couple Leisure,Economy Class,Tel Aviv to London via Zurich,April 2017,5.0,5.0,5.0,5.0,5.0,5.0,Yes,swiss-international-air-lines,Tel Aviv,London
Business,Economy Class,Singapore to Venice via Zurich,April 2017,4.0,4.0,3.0,4.0,5.0,4.0,Yes,swiss-international-air-lines,Singapore,Venice
Couple Leisure,Business Class,London to Delhi via Zurich,April 2017,2.0,4.0,2.0,1.0,5.0,2.0,Yes,swiss-international-air-lines,London,Delhi
Couple Leisure,Business Class,Dublin to Geneva,March 2017,3.0,5.0,5.0,1.0,5.0,5.0,Yes,swiss-international-air-lines,Dublin,Geneva
Solo Leisure,Economy Class,Zurich to Zagreb,March 2017,4.0,5.0,4.0,5.0,4.0,5.0,Yes,swiss-international-air-lines,Zurich,Zagreb
Solo Leisure,Economy Class,Zurich to Prague,March 2017,5.0,5.0,5.0,1.0,5.0,5.0,Yes,swiss-international-air-lines,Zurich,Prague
Solo Leisure,Business Class,Paris to Tel Aviv via Zurich,February 2017,4.0,3.0,5.0,5.0,5.0,5.0,Yes,swiss-international-air-lines,Paris,Tel Aviv
Solo Leisure,Economy Class,Tel-Aviv to Paris via Zurich ,March 2017,2.0,2.0,2.0,1.0,3.0,4.0,No,swiss-international-air-lines,Tel-Aviv,Paris
Solo Leisure,Economy Class,Zurich to Frankfurt,March 2017,3.0,4.0,3.0,1.0,4.0,4.0,Yes,swiss-international-air-lines,Zurich,Frankfurt
Solo Leisure,Economy Class,Hong Kong to Zurich,February 2017,4.0,5.0,5.0,5.0,4.0,4.0,Yes,swiss-international-air-lines,Hong Kong,Zurich
Business,Economy Class,Warsaw to Tokyo via Zurich,February 2017,3.0,4.0,4.0,1.0,5.0,3.0,Yes,swiss-international-air-lines,Warsaw,Tokyo
Solo Leisure,Economy Class,Zurich to Sion,February 2017,4.0,4.0,1.0,1.0,4.0,5.0,Yes,swiss-international-air-lines,Zurich,Sion
Business,Economy Class,Zurich to London City ,February 2017,1.0,3.0,2.0,1.0,2.0,1.0,No,swiss-international-air-lines,Zurich,London City 
Couple Leisure,Business Class,Zurich to Hong Kong,December 2016,5.0,5.0,5.0,5.0,4.0,5.0,Yes,swiss-international-air-lines,Zurich,Hong Kong
Solo Leisure,Economy Class,ZRH to FRA,February 2017,4.0,5.0,4.0,1.0,5.0,4.0,Yes,swiss-international-air-lines,ZRH,FRA
Couple Leisure,Economy Class,GVA to LHR,February 2017,3.0,3.0,3.0,1.0,1.0,3.0,No,swiss-international-air-lines,GVA,LHR
Business,First Class,Dubai to Brussels via Zurich,February 2017,5.0,5.0,3.0,3.0,1.0,2.0,No,swiss-international-air-lines,Dubai,Brussels
Solo Leisure,Business Class,TXL to VIE via ZRH,January 2017,5.0,5.0,4.0,1.0,4.0,4.0,Yes,swiss-international-air-lines,TXL,VIE
Couple Leisure,Economy Class,ZRH to GUA via MIA,December 2016,3.0,5.0,5.0,5.0,1.0,2.0,No,swiss-international-air-lines,ZRH,GUA
Solo Leisure,Economy Class,ZRH to CPH,January 2017,3.0,2.0,3.0,1.0,1.0,3.0,No,swiss-international-air-lines,ZRH,CPH
Business,Economy Class,SIN to ZRH,January 2017,1.0,3.0,3.0,1.0,4.0,3.0,No,swiss-international-air-lines,SIN,ZRH
Family Leisure,Economy Class,BOS to VCE via ZRH,April 2016,1.0,1.0,1.0,1.0,1.0,4.0,No,swiss-international-air-lines,BOS,VCE
Solo Leisure,Economy Class,BCN to TLV via ZRH,March 2016,5.0,5.0,5.0,5.0,5.0,5.0,Yes,swiss-international-air-lines,BCN,TLV
Business,Business Class,HAJ to MXP via ZRH,December 2016,5.0,5.0,5.0,1.0,5.0,4.0,Yes,swiss-international-air-lines,HAJ,MXP
Solo Leisure,Economy Class,BHX to PRG via ZRH,December 2016,1.0,1.0,2.0,1.0,1.0,1.0,No,swiss-international-air-lines,BHX,PRG
Business,Economy Class,VIE to ZRH,December 2016,1.0,2.0,2.0,1.0,3.0,1.0,No,swiss-international-air-lines,VIE,ZRH
Solo Leisure,Business Class,BOS to LIS via ZRH,October 2016,5.0,5.0,5.0,1.0,3.0,5.0,Yes,swiss-international-air-lines,BOS,LIS
Business,Business Class,MXP to BKK via ZRH ,December 2016,4.0,5.0,5.0,4.0,4.0,4.0,Yes,swiss-international-air-lines,MXP,BKK
Solo Leisure,Economy Class,ZRH to SFO,November 2016,4.0,5.0,4.0,2.0,5.0,5.0,Yes,swiss-international-air-lines,ZRH,SFO
Solo Leisure,Economy Class,LHR to HKG via ZRH,July 2016,4.0,5.0,5.0,5.0,5.0,5.0,Yes,swiss-international-air-lines,LHR,HKG
Solo Leisure,Economy Class,HAJ to VLC via ZRH,November 2016,4.0,5.0,5.0,4.0,4.0,5.0,Yes,swiss-international-air-lines,HAJ,VLC
Solo Leisure,Economy Class,ATH to PRG via ZRH,November 2016,3.0,3.0,2.0,2.0,4.0,4.0,Yes,swiss-international-air-lines,ATH,PRG
Solo Leisure,Economy Class,LHR to ZRH,August 2016,3.0,3.0,2.0,1.0,1.0,1.0,No,swiss-international-air-lines,LHR,ZRH
Business,Economy Class,BEG to ZRH,October 2016,2.0,3.0,2.0,1.0,3.0,1.0,No,swiss-international-air-lines,BEG,ZRH
Couple Leisure,Business Class,ZRH to HKG,October 2016,3.0,3.0,5.0,4.0,3.0,4.0,Yes,swiss-international-air-lines,ZRH,HKG
Couple Leisure,Economy Class,MSP to VCE via ZRH,October 2016,1.0,2.0,3.0,3.0,3.0,2.0,No,swiss-international-air-lines,MSP,VCE
Couple Leisure,Economy Class,ATH to LCY via ZRH,October 2016,4.0,4.0,4.0,1.0,4.0,4.0,Yes,swiss-international-air-lines,ATH,LCY
Solo Leisure,Economy Class,ZRH to HKG,May 2016,1.0,1.0,1.0,3.0,2.0,2.0,No,swiss-international-air-lines,ZRH,HKG
Solo Leisure,Economy Class,SFO to ZRH,September 2016,3.0,5.0,5.0,3.0,5.0,3.0,Yes,swiss-international-air-lines,SFO,ZRH
Solo Leisure,Economy Class,ZRH to JFK,July 2016,3.0,5.0,5.0,4.0,5.0,3.0,Yes,swiss-international-air-lines,ZRH,JFK
Solo Leisure,Business Class,VIE to ORD via ZRH,May 2016,5.0,5.0,4.0,4.0,5.0,4.0,Yes,swiss-international-air-lines,VIE,ORD
Business,Business Class,ZRH to IST,October 2016,3.0,5.0,4.0,3.0,5.0,5.0,Yes,swiss-international-air-lines,ZRH,IST
Solo Leisure,Economy Class,CDG to SIN via ZRH,September 2016,3.0,3.0,3.0,1.0,1.0,2.0,No,swiss-international-air-lines,CDG,SIN
Solo Leisure,Business Class,SIN to ZRH,August 2016,4.0,4.0,4.0,3.0,4.0,4.0,Yes,swiss-international-air-lines,SIN,ZRH
Business,Business Class,IST to ZHR,September 2016,3.0,4.0,3.0,1.0,3.0,5.0,Yes,swiss-international-air-lines,IST,ZHR
Couple Leisure,Business Class,ZRH to HKG,September 2016,3.0,5.0,5.0,1.0,5.0,5.0,Yes,swiss-international-air-lines,ZRH,HKG
Solo Leisure,Economy Class,ZRH to TLV,September 2016,1.0,5.0,4.0,4.0,3.0,2.0,No,swiss-international-air-lines,ZRH,TLV
