Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Staff_Service,F&B,Inflight_Entertainment,Ground_Service,Value_For_Money,Recommended,Airlines
Couple Leisure,Business Class,Helsinki to Krabi,December 2018,2.0,4.0,4.0,3.0,4.0,5.0,Recommendedyes,finnair
Couple Leisure,Business Class,London to Helsinki,December 2018,4.0,4.0,4.0,4.0,3.0,5.0,Recommendedyes,finnair
Business,Business Class,Helsinki to Gothenburg,December 2018,1.0,3.0,3.0,,2.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Helsinki to Astana,November 2018,3.0,5.0,1.0,1.0,2.0,2.0,Recommendedno,finnair
Solo Leisure,Economy Class,Lisbon to Helsinki,November 2018,3.0,4.0,1.0,1.0,4.0,2.0,Recommendedno,finnair
Couple Leisure,Economy Class,Rovaniemi to London via Helsinki,December 2018,1.0,1.0,,3.0,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Tel Aviv to Manchester via Helsinki,August 2018,4.0,4.0,4.0,,5.0,4.0,Recommendedyes,finnair
Family Leisure,Economy Class,Helsinki to Goa,December 2018,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
Family Leisure,Economy Class,Vaasa to Manchester via Helsinki,December 2018,3.0,3.0,,,2.0,2.0,Recommendedno,finnair
Solo Leisure,Economy Class,Keflavik to Hong Kong via Helsinki,December 2018,3.0,2.0,3.0,3.0,2.0,2.0,Recommendedno,finnair
Family Leisure,Economy Class,Stockholm to Hong Kong via Helsinki,December 2018,3.0,3.0,3.0,4.0,1.0,3.0,Recommendedno,finnair
Family Leisure,Premium Economy,Helsinki to Bangkok,December 2018,,,,,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,St Petersburgh to Chicago via Helsinki ,October 2018,3.0,4.0,3.0,4.0,2.0,2.0,Recommendedno,finnair
Solo Leisure,Economy Class,Malaga to Helsinki,November 2018,5.0,5.0,5.0,,4.0,5.0,Recommendedyes,finnair
Family Leisure,Economy Class,Minsk to New York via Helsinki,September 2018,3.0,2.0,3.0,1.0,1.0,1.0,Recommendedno,finnair
Business,Economy Class,Manchester to Bangkok via Helsinki,October 2018,5.0,1.0,1.0,3.0,5.0,5.0,Recommendedyes,finnair
Solo Leisure,Business Class,Canberra to Prague via Doha,October 2018,5.0,5.0,5.0,5.0,5.0,5.0,Recommendedyes,finnair
Business,Premium Economy,Riga to New Delhi via Helsinki,August 2018,4.0,4.0,4.0,4.0,4.0,4.0,Recommendedno,finnair
Couple Leisure,Economy Class,Bangkok to Brussels via Helsinki,October 2018,5.0,5.0,5.0,5.0,5.0,5.0,Recommendedyes,finnair
Business,Business Class,Beijing to Helsinki,October 2018,5.0,5.0,4.0,3.0,4.0,4.0,Recommendedyes,finnair
Solo Leisure,Economy Class,Madrid to Helsinki ,September 2018,1.0,2.0,2.0,,1.0,3.0,Recommendedno,finnair
Business,Economy Class,Helsinki to Singapore,October 2018,1.0,4.0,1.0,,3.0,3.0,Recommendedno,finnair
Solo Leisure,Economy Class,Brussels to Bangkok via Helsinki,October 2018,5.0,5.0,5.0,5.0,5.0,5.0,Recommendedyes,finnair
Business,Premium Economy,Bangkok to Amsterdam via Helsinki,September 2018,5.0,5.0,3.0,4.0,5.0,5.0,Recommendedyes,finnair
Business,Economy Class,Helsinki to Frankfurt,September 2018,1.0,1.0,1.0,,2.0,2.0,Recommendedno,finnair
Business,Economy Class,Chicago to Helsinki,August 2018,3.0,2.0,2.0,3.0,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Chicago to Vilnius via Helsinki,September 2018,4.0,3.0,2.0,3.0,1.0,3.0,Recommendedno,finnair
Couple Leisure,Economy Class,Helsinki to Chicago O'Hare,September 2018,1.0,3.0,3.0,1.0,2.0,2.0,Recommendedno,finnair
Family Leisure,Business Class,Tokyo to Helsinki,August 2018,2.0,2.0,2.0,2.0,2.0,1.0,Recommendedno,finnair
Business,Economy Class,Dueseldorf to Beijing via Helsinki,June 2018,4.0,4.0,3.0,1.0,3.0,3.0,Recommendedyes,finnair
Solo Leisure,Economy Class,London to St. Petersburg via Helsinki,June 2018,1.0,1.0,,,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Brussels to Bangkok via Helsinki,May 2018,4.0,4.0,4.0,4.0,5.0,5.0,Recommendedyes,finnair
Family Leisure,Economy Class,Singapore to Oslo via Helsinki,February 2018,4.0,4.0,3.0,4.0,4.0,4.0,Recommendedyes,finnair
Couple Leisure,Economy Class,Osaka to Copenhagen via Helsinki,July 2018,4.0,5.0,4.0,4.0,3.0,4.0,Recommendedyes,finnair
Solo Leisure,Business Class,London to Bangkok via Helsinki,April 2018,5.0,5.0,4.0,4.0,4.0,4.0,Recommendedyes,finnair
Business,Economy Class,Berlin to Tokyo via Helsinki,July 2018,3.0,3.0,1.0,2.0,2.0,1.0,Recommendedno,finnair
Couple Leisure,Economy Class,New York to Helsinki,July 2018,3.0,1.0,1.0,2.0,1.0,1.0,Recommendedno,finnair
Family Leisure,Economy Class,Rome to Helsinki,July 2018,1.0,1.0,,,1.0,1.0,Recommendedno,finnair
Couple Leisure,Economy Class,Kittila to London,February 2018,2.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
Family Leisure,Economy Class,Helsinki to Copenhagen,June 2018,5.0,5.0,,,5.0,5.0,Recommendedyes,finnair
Solo Leisure,Economy Class,Gothenburg to San Francisco via Helsinki,June 2018,4.0,5.0,5.0,4.0,4.0,5.0,Recommendedyes,finnair
Solo Leisure,Economy Class,Manchester to Bangkok via Helsinki,June 2018,3.0,3.0,2.0,3.0,4.0,4.0,Recommendedyes,finnair
Couple Leisure,Business Class,Helsinki to Hong Kong,June 2018,4.0,5.0,4.0,4.0,3.0,4.0,Recommendedyes,finnair
Solo Leisure,Business Class,Oslo to Shanghai via Helsinki,December 2017,3.0,3.0,2.0,2.0,1.0,1.0,Recommendedno,finnair
Couple Leisure,Economy Class,Paris to Singapore via Helsinki,June 2018,4.0,4.0,5.0,4.0,3.0,4.0,Recommendedyes,finnair
Solo Leisure,Economy Class,Hong Kong to Helsinki,May 2018,2.0,1.0,1.0,,1.0,1.0,Recommendedno,finnair
Solo Leisure,Business Class,Bangkok to Frankfurt via Helsinki,May 2018,1.0,2.0,2.0,2.0,5.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Amsterdam to Tokyo via Helsinki,May 2018,4.0,3.0,3.0,3.0,1.0,4.0,Recommendedyes,finnair
Solo Leisure,Economy Class,Helsinki to London,May 2018,3.0,1.0,1.0,,3.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Kansai to London via Helsinki,April 2018,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,St. Petersburg to Zurich via Helsinki,May 2018,3.0,4.0,,,2.0,2.0,Recommendedno,finnair
Solo Leisure,Business Class,Bangkok to Helsinki,April 2018,4.0,5.0,4.0,5.0,5.0,5.0,Recommendedyes,finnair
Solo Leisure,Economy Class,Helsinki to Amsterdam,April 2018,3.0,3.0,3.0,,3.0,3.0,Recommendedno,finnair
Family Leisure,Economy Class,Dublin to Helsinki,April 2018,4.0,5.0,4.0,2.0,4.0,4.0,Recommendedyes,finnair
Business,Economy Class,Munich to Helsinki,April 2018,5.0,5.0,3.0,2.0,4.0,4.0,Recommendedyes,finnair
Couple Leisure,Business Class,Singapore to Oslo via Helsinki,March 2018,4.0,5.0,5.0,5.0,1.0,1.0,Recommendedno,finnair
Solo Leisure,Business Class,Helsinki to London,April 2018,1.0,4.0,1.0,,1.0,1.0,Recommendedno,finnair
Business,Business Class,Barcelona to Shanghai via Helsinki,March 2018,4.0,5.0,5.0,4.0,5.0,5.0,Recommendedyes,finnair
Solo Leisure,Economy Class,Bangkok to Amsterdam via Helsinki,November 2017,3.0,3.0,3.0,4.0,3.0,4.0,Recommendedyes,finnair
Solo Leisure,Business Class,London Heathrow to Bangkok via Helsinki,March 2018,2.0,2.0,1.0,4.0,1.0,3.0,Recommendedno,finnair
Solo Leisure,Economy Class,Helsinki to Riga,March 2018,2.0,3.0,1.0,,3.0,3.0,Recommendedno,finnair
Couple Leisure,Business Class,Copenhagen to Delhi via Helsinki,January 2018,1.0,2.0,1.0,,1.0,1.0,Recommendedno,finnair
Business,Economy Class,Prague to Rovaniemi via Helsinki,March 2018,1.0,4.0,,,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Helsinki to London,February 2018,3.0,3.0,1.0,,3.0,2.0,Recommendedno,finnair
Family Leisure,Business Class,Delhi to Paris via Helsinki,March 2018,3.0,2.0,,,1.0,1.0,Recommendedno,finnair
Couple Leisure,Economy Class,Ivalo to London,February 2018,3.0,4.0,5.0,1.0,3.0,4.0,Recommendedyes,finnair
Couple Leisure,Economy Class,Helsinki to Zurich,February 2018,2.0,2.0,1.0,,3.0,2.0,Recommendedno,finnair
Business,Economy Class,St. Petersburg to New York City via Helsinki,February 2018,3.0,3.0,3.0,2.0,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Zurich to Helsinki,February 2018,4.0,4.0,2.0,1.0,4.0,2.0,Recommendedyes,finnair
Solo Leisure,Economy Class,Milan to Osaka via Helsinki,January 2018,3.0,1.0,1.0,2.0,1.0,1.0,Recommendedno,finnair
Business,Business Class,Osaka to Munich via Helsinki,February 2018,2.0,2.0,2.0,2.0,2.0,2.0,Recommendedno,finnair
Couple Leisure,Business Class,Helsinki to Bangkok,January 2018,3.0,1.0,2.0,3.0,1.0,3.0,Recommendedno,finnair
Solo Leisure,Business Class,Bangkok to Helsinki,December 2017,3.0,3.0,4.0,3.0,3.0,3.0,Recommendedyes,finnair
Couple Leisure,Economy Class,New York JFK to Gothenburg via Helsinki,January 2018,1.0,3.0,2.0,1.0,1.0,1.0,Recommendedno,finnair
Business,Economy Class,Stockholm to Helsinki,December 2017,,,,,1.0,1.0,Recommendedno,finnair
Solo Leisure,Business Class,Helsinki to Bangkok,December 2017,5.0,4.0,4.0,2.0,1.0,1.0,Recommendedno,finnair
Solo Leisure,Business Class,Miami to Vienna via Helsinki,January 2017,5.0,4.0,2.0,4.0,1.0,3.0,Recommendedno,finnair
Solo Leisure,Business Class,Vienna to Miami via Helsinki,January 2017,4.0,5.0,5.0,4.0,5.0,4.0,Recommendedno,finnair
Couple Leisure,Economy Class,Zürich to Helsinki,December 2017,5.0,5.0,5.0,,5.0,5.0,Recommendedyes,finnair
Business,Economy Class,Helsinki to Zurich ,December 2017,5.0,5.0,,,5.0,4.0,Recommendedyes,finnair
Solo Leisure,Economy Class,Moscow to New York via Helsinki,December 2017,2.0,2.0,1.0,1.0,1.0,2.0,Recommendedno,finnair
Business,Economy Class,Helsinki to Oslo,December 2017,4.0,4.0,4.0,,3.0,5.0,Recommendedyes,finnair
Business,Business Class,Amsterdam to Hong Kong via Helsinki,November 2017,4.0,5.0,4.0,4.0,4.0,5.0,Recommendedyes,finnair
Couple Leisure,Economy Class,Stockholm to Delhi via Helsinki,November 2017,3.0,1.0,3.0,1.0,1.0,2.0,Recommendedno,finnair
Business,Business Class,Zurich to Helsinki,November 2017,1.0,2.0,2.0,,3.0,2.0,Recommendedno,finnair
Family Leisure,Economy Class,Miami to Helsinki,November 2017,1.0,2.0,2.0,2.0,1.0,1.0,Recommendedno,finnair
Business,Economy Class,London to Delhi via Helsinki,November 2017,2.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
Business,Business Class,Bangkok to Helsinki,September 2017,5.0,5.0,5.0,5.0,4.0,5.0,Recommendedyes,finnair
Business,Business Class,Geneva to Helsinki,October 2017,2.0,5.0,4.0,,4.0,3.0,Recommendedyes,finnair
Solo Leisure,Economy Class,Hong Kong to Helsinki,September 2017,1.0,,,,1.0,1.0,Recommendedno,finnair
Solo Leisure,Business Class,Hong Kong to Helsinki,September 2017,2.0,,,,1.0,1.0,Recommendedno,finnair
Couple Leisure,Economy Class,Manchester to Nagoya via Helsinki,October 2017,5.0,5.0,5.0,5.0,5.0,5.0,Recommendedyes,finnair
Solo Leisure,Economy Class,Berlin to Kansai via Helsinki,September 2017,4.0,5.0,4.0,4.0,3.0,5.0,Recommendedyes,finnair
Couple Leisure,Business Class,Singapore to Bergen via Helsinki,October 2017,3.0,4.0,3.0,3.0,3.0,4.0,Recommendedyes,finnair
Business,Economy Class,Bangkok to Manchester via Helsinki,June 2017,3.0,3.0,2.0,3.0,1.0,3.0,Recommendedno,finnair
Solo Leisure,Economy Class,London to Helsinki,August 2017,4.0,2.0,1.0,2.0,3.0,2.0,Recommendedno,finnair
Solo Leisure,Economy Class,Helsinki to London,August 2017,4.0,4.0,1.0,3.0,1.0,2.0,Recommendedno,finnair
Business,Economy Class,Stockholm to San Francisco via Helsinki,September 2017,3.0,4.0,1.0,2.0,4.0,4.0,Recommendedno,finnair
Solo Leisure,Business Class,Zurich to Tallinn via Helsinki,September 2017,4.0,4.0,4.0,,4.0,3.0,Recommendedyes,finnair
Solo Leisure,Economy Class,Amsterdam to Seoul via Helsinki,September 2017,1.0,4.0,,,2.0,2.0,Recommendedno,finnair
Business,Economy Class,Helsinki to Zurich,September 2017,3.0,3.0,3.0,,1.0,5.0,Recommendedyes,finnair
Business,Business Class,Singapore to Helsinki,August 2017,4.0,5.0,4.0,2.0,4.0,5.0,Recommendedyes,finnair
Solo Leisure,Business Class,Oulu to London (LHR) via Helsinki,August 2017,1.0,3.0,1.0,1.0,2.0,2.0,Recommendedno,finnair
Family Leisure,Business Class,Manchester to Tokyo via Helsinki,April 2017,3.0,2.0,2.0,4.0,1.0,3.0,Recommendedno,finnair
Business,Business Class,Amsterdam to Helsinki,August 2017,3.0,5.0,4.0,,4.0,4.0,Recommendedyes,finnair
Business,Business Class,Helsinki to London,August 2017,5.0,5.0,4.0,,5.0,4.0,Recommendedyes,finnair
Solo Leisure,Business Class,New York to Rovaniemi via Helsinki,July 2017,1.0,1.0,1.0,1.0,3.0,2.0,Recommendedno,finnair
Business,Business Class,Berlin to Helsinki,February 2017,3.0,5.0,4.0,,3.0,4.0,Recommendedyes,finnair
Business,Business Class,Bangkok to Oslo via Helsinki,September 2016,4.0,4.0,4.0,4.0,1.0,1.0,Recommendedno,finnair
Family Leisure,Economy Class,Milan to Helsinki,December 2016,4.0,4.0,4.0,3.0,4.0,4.0,Recommendedyes,finnair
Couple Leisure,Economy Class,Hamburg to Bangkok via Helsinki,August 2016,4.0,3.0,1.0,5.0,3.0,4.0,Recommendedyes,finnair
Business,Premium Economy,New York JFK to Chania via Helsinki,July 2017,3.0,5.0,2.0,2.0,3.0,3.0,Recommendedyes,finnair
Family Leisure,Business Class,Bangkok to Copenhagen via Helsinki,June 2017,5.0,5.0,5.0,4.0,5.0,5.0,Recommendedyes,finnair
Solo Leisure,Business Class,Manchester to Bangkok via Helsinki,June 2017,4.0,4.0,4.0,,5.0,5.0,Recommendedyes,finnair
Business,Business Class,Helsinki to Paris,June 2017,1.0,4.0,2.0,1.0,3.0,1.0,Recommendedno,finnair
Couple Leisure,Economy Class,Helsinki to Bangkok,June 2017,3.0,3.0,1.0,2.0,4.0,3.0,Recommendedno,finnair
Solo Leisure,Premium Economy,Helsinki to Osaka,May 2017,1.0,3.0,2.0,1.0,2.0,1.0,Recommendedno,finnair
Family Leisure,Economy Class,London to Singapore via Helsinki,June 2017,4.0,5.0,1.0,2.0,4.0,4.0,Recommendedyes,finnair
Solo Leisure,Economy Class,Helsinki to Bangkok,May 2017,5.0,5.0,5.0,4.0,5.0,5.0,Recommendedyes,finnair
Solo Leisure,Economy Class,Bangkok to Helsinki,June 2017,5.0,4.0,5.0,3.0,5.0,5.0,Recommendedyes,finnair
Solo Leisure,Business Class,London to Bangkok via Helsinki,January 2017,2.0,1.0,3.0,2.0,1.0,3.0,Recommendedno,finnair
Couple Leisure,Economy Class,Vienna to Kemi-Tornio via Helsinki,July 2016,3.0,4.0,1.0,,2.0,2.0,Recommendedno,finnair
Solo Leisure,Economy Class,Bangkok to Helsinki,May 2017,3.0,4.0,3.0,3.0,3.0,5.0,Recommendedyes,finnair
Business,Business Class,Oslo to New York JFK via Helsinki,May 2017,4.0,5.0,4.0,4.0,5.0,5.0,Recommendedyes,finnair
Solo Leisure,Business Class,Helsinki to London Heathrow,May 2017,3.0,4.0,4.0,3.0,4.0,5.0,Recommendedyes,finnair
Family Leisure,Economy Class,London Heathrow to Helsinki,May 2017,4.0,4.0,3.0,,4.0,4.0,Recommendedyes,finnair
Solo Leisure,Economy Class,Nagoya to Milan via Helsinki,May 2017,3.0,4.0,2.0,2.0,2.0,4.0,Recommendedyes,finnair
Solo Leisure,Business Class,New York to Kuusamo via Helsinki,April 2017,1.0,2.0,2.0,2.0,2.0,2.0,Recommendedno,finnair
Family Leisure,Economy Class,Amsterdam to Oulu via Helsinki,April 2017,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Stockholm to Helsinki,April 2017,4.0,5.0,4.0,,5.0,5.0,Recommendedyes,finnair
Business,Business Class,Helsinki to Delhi,April 2017,3.0,4.0,1.0,1.0,1.0,2.0,Recommendedno,finnair
Couple Leisure,Business Class,Helsinki to Madrid,June 2016,1.0,3.0,3.0,,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Krakow to Shanghai via Helsinki,March 2017,3.0,1.0,1.0,,1.0,1.0,Recommendedno,finnair
Business,Economy Class,Vaasa to Malaga via Helsinki,March 2017,1.0,3.0,1.0,,5.0,1.0,Recommendedno,finnair
Solo Leisure,Business Class,Helsinki to Bangkok,April 2017,5.0,5.0,5.0,5.0,5.0,5.0,Recommendedyes,finnair
Solo Leisure,Business Class,London to Bangkok via Hong Kong,March 2017,3.0,3.0,3.0,3.0,3.0,4.0,Recommendedyes,finnair
Couple Leisure,Economy Class,Helsinki to Delhi ,March 2017,4.0,5.0,4.0,3.0,4.0,4.0,Recommendedyes,finnair
Business,Economy Class,Berlin to Helsinki,March 2017,2.0,2.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Oulu to Helsinki,February 2017,5.0,5.0,4.0,4.0,5.0,4.0,Recommendedyes,finnair
Solo Leisure,Economy Class,Helsinki to Budapest,February 2017,4.0,5.0,4.0,3.0,4.0,5.0,Recommendedyes,finnair
Couple Leisure,Economy Class,London to Rovaniemi via Helsinki,February 2017,5.0,5.0,5.0,,5.0,4.0,Recommendedyes,finnair
Solo Leisure,Economy Class,Madrid to Osaka via Helsinki,January 2017,2.0,1.0,,4.0,1.0,1.0,Recommendedno,finnair
Solo Leisure,Business Class,Helsinki to Singapore,February 2017,5.0,4.0,5.0,5.0,5.0,5.0,Recommendedyes,finnair
Business,Business Class,Helsinki to Hong Kong,February 2017,3.0,3.0,2.0,3.0,3.0,4.0,Recommendedno,finnair
Solo Leisure,Economy Class,Brussels to Bangkok via Helsinki,January 2017,1.0,3.0,1.0,2.0,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,HEL to BKK,July 2016,4.0,5.0,4.0,4.0,4.0,4.0,Recommendedyes,finnair
Solo Leisure,Economy Class,SIN to HEL,January 2017,4.0,5.0,4.0,4.0,4.0,5.0,Recommendedyes,finnair
Solo Leisure,Economy Class,BRU to HEL,July 2016,3.0,4.0,,4.0,4.0,3.0,Recommendedyes,finnair
Solo Leisure,Economy Class,LHR to HEL,January 2017,4.0,4.0,,,5.0,5.0,Recommendedyes,finnair
Solo Leisure,Economy Class,BKK to ARN via HEL,January 2017,2.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
Solo Leisure,Business Class,CDG to HKG via HEL,December 2016,4.0,4.0,2.0,3.0,5.0,4.0,Recommendedyes,finnair
Family Leisure,Economy Class,HEL to SIN,January 2017,3.0,3.0,2.0,4.0,1.0,1.0,Recommendedno,finnair
Solo Leisure,Business Class,HKG to HEL,September 2016,5.0,5.0,5.0,5.0,5.0,5.0,Recommendedyes,finnair
Business,Premium Economy,HEL to NRT,December 2016,,,,,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,BKK to LHR via HEL,November 2016,4.0,5.0,5.0,5.0,4.0,5.0,Recommendedyes,finnair
Business,Economy Class,BCN to VST via HEL,December 2016,3.0,3.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
Couple Leisure,Premium Economy,HEL to BKK,November 2016,5.0,5.0,4.0,5.0,5.0,5.0,Recommendedyes,finnair
Couple Leisure,Business Class,HEL to MAN,November 2016,4.0,5.0,5.0,,5.0,5.0,Recommendedyes,finnair
Solo Leisure,Economy Class,CDG to GOT via HEL,November 2016,4.0,5.0,3.0,,5.0,4.0,Recommendedyes,finnair
Couple Leisure,Business Class,CDG to BKK via HEL,November 2016,4.0,5.0,4.0,4.0,4.0,4.0,Recommendedyes,finnair
Business,Business Class,HEL to PVG,September 2016,5.0,5.0,4.0,4.0,3.0,4.0,Recommendedyes,finnair
Solo Leisure,Economy Class,KIX to DUS via HEL,September 2016,3.0,4.0,3.0,3.0,3.0,5.0,Recommendedyes,finnair
Solo Leisure,Business Class,KIX to CDG via HEL,September 2016,4.0,5.0,4.0,2.0,3.0,5.0,Recommendedyes,finnair
Solo Leisure,Economy Class,LJU to ARN via HEL,September 2016,4.0,4.0,4.0,,5.0,5.0,Recommendedyes,finnair
Solo Leisure,Economy Class,LHR to HEL,September 2016,5.0,5.0,,,5.0,5.0,Recommendedyes,finnair
Solo Leisure,Economy Class,PRG to BKK via HEL,August 2016,4.0,4.0,4.0,4.0,5.0,4.0,Recommendedyes,finnair
Solo Leisure,Business Class,LHR to ICN via HEL,September 2016,4.0,5.0,5.0,4.0,4.0,4.0,Recommendedyes,finnair
Solo Leisure,Premium Economy,JFK to HEL,September 2016,1.0,2.0,2.0,3.0,1.0,1.0,Recommendedno,finnair
Family Leisure,Business Class,ARN to BGO,September 2016,3.0,5.0,4.0,,5.0,5.0,Recommendedyes,finnair
Solo Leisure,Economy Class,BUD to HEL,August 2016,4.0,5.0,5.0,4.0,3.0,4.0,Recommendedyes,finnair
Solo Leisure,Economy Class,HKG to AMS via HEL,August 2016,2.0,4.0,2.0,3.0,4.0,5.0,Recommendedno,finnair
Solo Leisure,Economy Class,LHR to PVG via HEL,July 2016,4.0,4.0,2.0,4.0,2.0,3.0,Recommendedno,finnair
Couple Leisure,First Class,DUB to KIX via HEL,August 2016,4.0,5.0,3.0,2.0,1.0,4.0,Recommendedyes,finnair
Couple Leisure,Business Class,KIX to DUB via HEL,August 2016,4.0,5.0,4.0,2.0,3.0,5.0,Recommendedyes,finnair
Couple Leisure,Economy Class,HEL to KUO,August 2016,1.0,1.0,1.0,1.0,2.0,3.0,Recommendedno,finnair
Solo Leisure,Business Class,PEK to HEL,August 2016,5.0,5.0,5.0,5.0,5.0,4.0,Recommendedyes,finnair
Solo Leisure,Premium Economy,GVA to HEL,July 2016,1.0,2.0,1.0,,1.0,1.0,Recommendedno,finnair
Couple Leisure,Economy Class,KAO to HEL,July 2016,1.0,2.0,1.0,,1.0,2.0,Recommendedno,finnair
Solo Leisure,Business Class,HEL to KIX,July 2016,4.0,4.0,4.0,3.0,1.0,4.0,Recommendedyes,finnair
Solo Leisure,Business Class,CDG to HEL,July 2016,2.0,4.0,4.0,,1.0,4.0,Recommendedyes,finnair
Solo Leisure,Business Class,SXF to SIN via HEL,June 2016,4.0,4.0,3.0,3.0,1.0,4.0,Recommendedno,finnair
Solo Leisure,Economy Class,HEL to WAW,July 2016,4.0,1.0,2.0,,1.0,1.0,Recommendedno,finnair
Couple Leisure,Economy Class,HEL to DUB,July 2016,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
Business,Economy Class,HEL to LHR,June 2016,2.0,2.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
Solo Leisure,Business Class,MAD to HEL,June 2016,1.0,3.0,1.0,1.0,2.0,3.0,Recommendedno,finnair
Family Leisure,Economy Class,HEL to AGP,June 2016,4.0,5.0,4.0,,3.0,5.0,Recommendedyes,finnair
Family Leisure,Economy Class,SIN to HEL,June 2016,3.0,4.0,3.0,3.0,4.0,4.0,Recommendedyes,finnair
Couple Leisure,Business Class,BKK to HEL,May 2016,5.0,5.0,5.0,5.0,5.0,5.0,Recommendedyes,finnair
Solo Leisure,Economy Class,SIN to HEL,May 2016,4.0,5.0,4.0,4.0,5.0,5.0,Recommendedyes,finnair
Solo Leisure,Economy Class,LHR to HEL,June 2016,2.0,1.0,1.0,,2.0,1.0,Recommendedno,finnair
Solo Leisure,Business Class,HEL to MAD,May 2016,2.0,4.0,3.0,1.0,3.0,2.0,Recommendedyes,finnair
Couple Leisure,Economy Class,NGO to HEL,May 2016,2.0,5.0,1.0,2.0,4.0,4.0,Recommendedyes,finnair
Business,Business Class,FRA to ICN via HEL,May 2016,1.0,4.0,3.0,2.0,4.0,2.0,Recommendedyes,finnair
Solo Leisure,Economy Class,KIX to LHR via HEL,May 2016,2.0,1.0,2.0,1.0,2.0,3.0,Recommendedno,finnair
Solo Leisure,Business Class,NRT to EDI via HEL,May 2016,4.0,5.0,4.0,4.0,5.0,4.0,Recommendedyes,finnair
Business,Business Class,CDG to PVG via HEL,April 2016,4.0,5.0,5.0,5.0,4.0,4.0,Recommendedyes,finnair
Couple Leisure,Economy Class,HAM to BKK via HEL,April 2016,1.0,2.0,2.0,1.0,3.0,3.0,Recommendedno,finnair
Couple Leisure,Business Class,BKK to LHR via HEL,April 2016,1.0,1.0,,,1.0,1.0,Recommendedno,finnair
Couple Leisure,Economy Class,LHR to KTT via HEL,April 2016,4.0,4.0,2.0,,5.0,3.0,Recommendedyes,finnair
Couple Leisure,Economy Class,HEL to PEK,March 2016,1.0,3.0,1.0,3.0,3.0,4.0,Recommendedno,finnair
Couple Leisure,Premium Economy,BKK to HAM via HEL,March 2016,4.0,1.0,3.0,4.0,1.0,2.0,Recommendedno,finnair
Solo Leisure,Business Class,JFK to HEL,February 2016,4.0,4.0,3.0,3.0,3.0,4.0,Recommendedyes,finnair
Business,Business Class,ZRH to PVG via HEL,March 2016,4.0,5.0,4.0,5.0,4.0,4.0,Recommendedyes,finnair
Business,Economy Class,TLL to CDG via HEL,February 2016,3.0,3.0,2.0,,1.0,3.0,Recommendedno,finnair
Business,Business Class,HKG to HEL,February 2016,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
