Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Staff_Service,F&B,Inflight_Entertainment,Ground_Service,Value_For_Money,Recommended,Airlines
Business,Economy Class,Helsinki to Moscow,February 2020,1.0,1.0,,,1.0,1.0,Recommendedno,finnair
Business,Business Class,London to Tel Aviv via Helsinki,February 2020,,,,,,1.0,Recommendedno,finnair
Solo Leisure,Business Class,Oslo to Bangkok via Helsinki,February 2020,4.0,2.0,2.0,3.0,3.0,4.0,Recommendedno,finnair
Solo Leisure,Economy Class,London to Los Angeles via Helsinki,January 2020,3.0,4.0,4.0,1.0,4.0,4.0,Recommendedyes,finnair
Couple Leisure,Economy Class,Stockholm to Nagoya via Helsinki,February 2020,2.0,1.0,2.0,2.0,1.0,1.0,Recommendedno,finnair
Business,Business Class,Helsinki to Seoul ,February 2020,5.0,5.0,5.0,3.0,4.0,5.0,Recommendedyes,finnair
Solo Leisure,Economy Class,Paris to Tokyo via Helsinki,December 2019,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
Family Leisure,Economy Class,Gdańsk to Hong Kong via Helsinki,January 2020,3.0,4.0,3.0,3.0,5.0,5.0,Recommendedyes,finnair
Solo Leisure,Business Class,Manchester to Bangkok via Helsinki,January 2020,5.0,5.0,5.0,5.0,5.0,5.0,Recommendedyes,finnair
Couple Leisure,Economy Class,Bangkok to Manchester via Helsinki,January 2020,3.0,2.0,1.0,1.0,3.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Helsinki to Osaka,January 2020,5.0,3.0,2.0,1.0,4.0,3.0,Recommendedyes,finnair
Solo Leisure,Economy Class,Manchester to Helsinki via Bangkok,January 2020,2.0,4.0,2.0,2.0,4.0,3.0,Recommendedno,finnair
Family Leisure,Economy Class,Chicago to Vilnius  via Helsinki ,August 2019,5.0,5.0,3.0,3.0,3.0,4.0,Recommendedyes,finnair
Couple Leisure,Economy Class,Dubai to Helsinki,December 2019,3.0,3.0,,,3.0,3.0,Recommendedno,finnair
Couple Leisure,Economy Class,Hong Kong to Billund via Helsinki,December 2019,,,,,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Hong Kong to Reykjavik =via Helsinki,May 2019,5.0,5.0,4.0,5.0,2.0,5.0,Recommendedyes,finnair
Solo Leisure,Business Class,Stockholm to Bangkok via Helsinki,December 2019,4.0,4.0,5.0,4.0,4.0,4.0,Recommendedyes,finnair
Family Leisure,Business Class,Phuket to Helsinki,November 2019,4.0,1.0,1.0,4.0,4.0,1.0,Recommendedno,finnair
Business,Business Class,Dubai to Helsinki,March 2019,5.0,4.0,5.0,4.0,4.0,5.0,Recommendedyes,finnair
Couple Leisure,Economy Class,Helsinki to Singapore,October 2019,1.0,4.0,3.0,3.0,4.0,4.0,Recommendedno,finnair
Family Leisure,Economy Class,Helsinki to Phuket,October 2019,3.0,4.0,5.0,4.0,5.0,3.0,Recommendedyes,finnair
Family Leisure,Economy Class,Bangkok to Manchester via Helsinki,November 2019,4.0,5.0,2.0,3.0,5.0,5.0,Recommendedyes,finnair
Business,Economy Class,Helsinki to Paris,October 2019,3.0,4.0,1.0,1.0,3.0,3.0,Recommendedyes,finnair
Solo Leisure,Business Class,Helsinki to Dublin,October 2019,4.0,5.0,4.0,,3.0,3.0,Recommendedyes,finnair
Solo Leisure,Economy Class,Bangkok to London via Helsinki,September 2019,5.0,5.0,3.0,4.0,3.0,4.0,Recommendedyes,finnair
Solo Leisure,Premium Economy,Helsinki to Chicago,September 2019,1.0,1.0,,1.0,1.0,1.0,Recommendedno,finnair
Couple Leisure,Business Class,Vienna to Singapore via Helsinki,September 2019,4.0,5.0,4.0,3.0,5.0,4.0,Recommendedyes,finnair
Solo Leisure,Economy Class,Toronto to Yekaterinburg,May 2019,3.0,3.0,,,3.0,2.0,Recommendedno,finnair
Couple Leisure,Business Class,Singapore to Vienna via Helsinki,September 2019,2.0,1.0,3.0,2.0,1.0,1.0,Recommendedyes,finnair
